date,entry_time,exit_time,ticker,action,close_action,direction,entry_price,exit_price,shares,position_value,profit_loss_pct,profit_loss_dollars,exit_reason,hold_duration_seconds,indicator_name,entry_spread_pct,atr_at_entry,momentum_at_entry
2024-12-31,2024-12-31T10:45:00,2024-12-31T11:32:00,RIVN,buy_to_open,sell_to_close,long,14.5600,13.9610,137.3626,2000.00,-4.1140,-82.28,ATR stop loss: -4.22% (threshold: -4.00%),2820.0,Momentum Trading,0.1375,0.0000,0.0000
2025-01-02,2025-01-02T10:19:00,2025-01-02T11:20:00,META,buy_to_open,sell_to_close,long,603.4440,597.5400,3.3143,2000.00,-0.9784,-19.57,max_hold_60min,3660.0,Momentum Trading,0.0477,0.0000,0.0000
2025-01-03,2025-01-03T09:47:00,2025-01-03T10:30:00,PLTR,buy_to_open,sell_to_close,long,77.1680,77.6871,25.9175,2000.00,0.6727,13.45,Trailing stop triggered at $77.7568 (locking in 0.59% profit),2580.0,Momentum Trading,0.1763,0.0000,0.0000
2025-01-10,2025-01-10T09:54:00,2025-01-10T10:26:00,SNAP,buy_to_open,sell_to_close,long,12.1970,12.6456,163.9747,2000.00,3.6780,73.56,Trend reversal detected: dropped 0.82% from peak $12.7600 (locking in 3.64% profit),1920.0,Momentum Trading,0.1148,0.0000,0.0000
2025-01-10,2025-01-10T10:42:00,2025-01-10T11:42:00,SNAP,buy_to_open,sell_to_close,long,13.0021,13.1240,153.8213,2000.00,0.9375,18.75,Trailing stop triggered at $13.1405 (locking in 0.72% profit),3600.0,Momentum Trading,0.3390,0.0000,0.0000
2025-01-15,2025-01-15T10:02:00,2025-01-15T10:36:00,SNAP,buy_to_open,sell_to_close,long,12.1870,12.2845,164.1093,2000.00,0.8000,16.00,Trailing stop triggered at $12.3080 (locking in 0.88% profit),2040.0,Momentum Trading,0.1149,0.0000,0.0000
2025-01-22,2025-01-22T10:50:00,2025-01-22T11:51:00,PLTR,buy_to_open,sell_to_close,long,75.8140,76.1068,26.3804,2000.00,0.3862,7.72,max_hold_60min,3660.0,Momentum Trading,0.0897,0.0000,0.0000
2025-01-23,2025-01-23T09:53:00,2025-01-23T10:54:00,COIN,buy_to_open,sell_to_close,long,301.5020,297.3037,6.6335,2000.00,-1.3925,-27.85,max_hold_60min,3660.0,Momentum Trading,0.1739,0.0000,0.0000
2025-01-27,2025-01-27T10:58:00,2025-01-27T11:36:00,SOFI,buy_to_open,sell_to_close,long,16.5819,15.9607,120.6134,2000.00,-3.7463,-74.93,ATR stop loss: -4.31% (threshold: -4.00%),2280.0,Momentum Trading,0.6292,0.0000,0.0000
2025-01-28,2025-01-28T09:35:00,2025-01-28T10:18:00,BA,buy_to_open,sell_to_close,long,183.6740,185.8070,10.8889,2000.00,1.1613,23.23,Trailing stop triggered at $185.9930 (locking in 1.07% profit),2580.0,Momentum Trading,0.1896,0.0000,0.0000
2025-01-28,2025-01-28T10:28:00,2025-01-28T11:29:00,SOFI,buy_to_open,sell_to_close,long,15.9300,15.4810,125.5493,2000.00,-2.8186,-56.37,max_hold_60min,3660.0,Momentum Trading,0.0628,0.0000,0.0000
2025-01-31,2025-01-31T09:59:00,2025-01-31T11:00:00,PLTR,buy_to_open,sell_to_close,long,84.1990,84.4339,23.7533,2000.00,0.2790,5.58,max_hold_60min,3660.0,Momentum Trading,0.0689,0.0000,0.0000
2025-02-03,2025-02-03T10:58:00,2025-02-03T11:53:00,SOFI,buy_to_open,sell_to_close,long,15.5402,15.6765,128.6986,2000.00,0.8770,17.54,Trailing stop triggered at $15.7019 (locking in 0.98% profit),3300.0,Momentum Trading,0.0642,0.0000,0.0000
2025-02-03,2025-02-03T11:03:00,2025-02-03T12:04:00,COIN,buy_to_open,sell_to_close,long,285.1865,282.4284,7.0130,2000.00,-0.9671,-19.34,max_hold_60min,3660.0,Momentum Trading,0.1379,0.0000,0.0000
2025-02-05,2025-02-05T09:34:00,2025-02-05T10:35:00,DIS,buy_to_open,sell_to_close,long,115.7602,111.3480,17.2771,2000.00,-3.8115,-76.23,max_hold_60min,3660.0,Momentum Trading,0.1864,0.0000,0.0000
